區域名稱,位置代號,位置名稱
小空地,DC001,小空地01
小空地,DC002,小空地02
小空地,DC003,小空地03
小空地,DC004,小空地04
小空地,DC005,小空地05
小空地,DC006,小空地06
小空地,DC007,小空地07
小空地,DC008,小空地08
小空地,DC009,小空地09
小空地,DC010,小空地10-圍籬
小空地,DC011,小空地11
小空地,DC012,小空地-奇異果區
小空地,DC013,小空地-樹葡萄果區
大空地,DD001,大空地A1~A29
大空地,DD002,堆肥區
大空地,DD003,出貨區
大空地,DD004,廚房
大空地,DD005,乾燥室
大空地,DD006,大空地06-圍牆
河床邊,DE001,河床邊
畜水產,DF001,魚池
畜水產,DF002,肉雞舍
畜水產,DF003,蛋雞舍
黃金果區,DG001,黃金果區
溫室,DH101,溫室一
溫室,DH201,溫室二
溫室,DH301,溫室三
溫室,DH302,溫室三
溫室,DH303,溫室三
溫室,DH304,溫室三
溫室,DH305,溫室三
溫室,DH306,溫室三
溫室,DH307,溫室三
蘭花園,DL001,蘭花園
南林,DN001,南林
生菜及育苗室,DS001,育苗室
生菜及育苗室,DS002,育苗室埔里農莊寄放
埔里農莊,PL001,水果區
埔里農莊,PL002,蔬菜區
埔里農莊,PL003,樸門區
埔里農莊,PL004,茶品區
